nationality,count
American,73547
French,22882
German,9637
British,5693
Spanish,3157
Italian,2786
Japanese,2465
Russian,2159
Swiss,2124
Dutch,1615
Belgian,1478
Mexican,1478
Austrian,925
Argentine,922
Brazilian,915
Canadian,789
Czech,778
Colombian,773
Chilean,608
Polish,560
Venezuelan,529
Danish,527
Ivorian,482
Chinese,322
Israeli,316
Swedish,300
Australian,253
Indian,230
Finnish,220
Cuban,219
Croatian,202
Norwegian,181
Serbian,175
Hungarian,157
Portuguese,144
Peruvian,133
Uruguayan,89
Guatemalan,85
Egyptian,84
Romanian,81
Korean,80
Nigerian,77
Ukrainian,77
Sudanese,64
Greek,63
Latvian,60
Scottish,54
Slovenian,54
Lebanese,54
Pakistani,53
Turkish,51
Georgian,50
Luxembourger,43
Thai,41
Icelandic,31
Irish,26
Burkinabé,26
Congolese,23
Iranian,22
Malian,22
Albanian,21
Bosnian,20
Haitian,20
Lithuanian,20
Moroccan,18
Cameroonian,16
Kenyan,15
Zimbabwean,15
Iraqi,14
Tunisian,13
Bulgarian,12
Slovak,11
Ecuadorian,10
Macedonian,9
Palestinian,8
Ghanaian,8
English,7
Ethiopian,7
Panamanian,6
Emirati,6
Oneida,5
Malaysian,5
Bolivian,5
Taiwanese,4
Bahamian,4
Nicaraguan,4
Czechoslovakian,4
Mozambican,4
Indonesian,3
Salvadoran,3
Welsh,3
Beninese,3
Algerian,3
Coptic,3
Paraguayan,2
Filipino,2
Singaporean,2
Namibian,2
Senegalese,2
Nepali,2
Azerbaijani,2
Estonian,2
Bangladeshi,2
Ugandan,1
Yugoslav,1
Catalan,1
Persian,1
Syrian,1
Ivatan,1
Caribbean,1
Vietnamese,1
Tanzanian,1
Kuwaiti,1
Afghan,1
